Time,cwnd,ssthresh,state
15:48:56.404,11,11,congestion avoidance
15:48:57.027,12,11,congestion avoidance
15:48:57.563,13,11,congestion avoidance
15:48:58.111,14,11,congestion avoidance
15:48:58.168,15,11,congestion avoidance
15:48:58.190,7,7,fast recovery
15:48:58.724,8,7,congestion avoidance
15:48:59.236,9,7,congestion avoidance
15:49:01.476,10,7,congestion avoidance
15:49:01.989,11,7,congestion avoidance
15:49:02.516,12,7,congestion avoidance
15:49:03.053,13,7,congestion avoidance
15:49:03.599,14,7,congestion avoidance
15:49:04.157,15,7,congestion avoidance
15:49:04.166,15,7,congestion avoidance
15:49:04.167,7,7,fast recovery
15:49:04.692,8,7,congestion avoidance
15:49:05.202,9,7,congestion avoidance
15:49:05.710,10,7,congestion avoidance
15:49:06.225,11,7,congestion avoidance
15:49:06.229,11,7,congestion avoidance
15:49:06.230,5,5,fast recovery
15:49:06.230,6,5,fast recovery
15:49:06.230,7,5,fast recovery
15:49:06.231,8,5,fast recovery
15:49:06.232,6,5,congestion avoidance
15:49:06.295,7,5,congestion avoidance
15:49:06.317,3,3,fast recovery
15:49:06.819,4,3,congestion avoidance
15:49:07.323,5,3,congestion avoidance
15:49:07.828,6,3,congestion avoidance
15:49:08.334,7,3,congestion avoidance
15:49:08.841,8,3,congestion avoidance
15:49:09.347,9,3,congestion avoidance
15:49:09.855,10,3,congestion avoidance
15:49:10.368,11,3,congestion avoidance
15:49:10.795,12,3,congestion avoidance
15:49:11.337,13,3,congestion avoidance
15:49:11.884,14,3,congestion avoidance
15:49:12.445,15,3,congestion avoidance
15:49:12.492,15,3,congestion avoidance
15:49:12.514,7,7,fast recovery
15:49:13.049,8,7,congestion avoidance
15:49:13.052,8,7,congestion avoidance
15:49:13.053,4,4,fast recovery
15:49:13.054,5,4,fast recovery
15:49:13.055,6,4,fast recovery
15:49:13.055,7,4,fast recovery
15:49:13.056,8,4,fast recovery
15:49:13.058,6,4,congestion avoidance
15:49:13.058,3,3,fast recovery
15:49:13.060,4,3,fast recovery
15:49:13.596,4,3,congestion avoidance
15:49:14.100,5,3,congestion avoidance
15:49:14.605,6,3,congestion avoidance
15:49:15.110,7,3,congestion avoidance
15:49:15.616,8,3,congestion avoidance
15:49:16.125,9,3,congestion avoidance
15:49:16.635,10,3,congestion avoidance
15:49:17.143,11,3,congestion avoidance
